Artist,Title,Popularity,Duration_ms,Album,Danceability,Acousticness,Energy,Liveness,Loudness,Valence,Tempo,Speechiness,Artist_Popularity,Artist_Genres,Artist_Followers,Artist_Country,Artist_Song,Song_ID
OneRepublic,SAY (ALL I NEED),40,230573,Dreaming Out Loud,0.548,0.0184,0.742,0.153,-5.741,0.31,122.007,0.0498,84,"piano rock, pop",17630347,Unknown,OneRepublic - SAY (ALL I NEED),5625
Coldplay,VIOLET HILL,63,222653,Viva La Vida or Death and All His Friends,0.33,0.0614,0.58,0.115,-7.875,0.11,76.093,0.0374,92,"permanent wave, pop",54752166,Unknown,Coldplay - VIOLET HILL,5626
Mika,LOLLIPOP,46,183533,Life in Cartoon Motion,0.711,0.0323,0.595,0.114,-5.335,0.857,96.003,0.0657,67,electropop,1402267,Unknown,Mika - LOLLIPOP,5627
Jamie Lidell,ANOTHER DAY,46,228906,Jim,0.705,0.167,0.629,0.291,-4.977,0.917,135.553,0.0408,42,"funk, funktronica, pop soul",82633,Unknown,Jamie Lidell - ANOTHER DAY,5628
Adele,COLD SHOULDER,51,191866,19,0.65,0.00217,0.82,0.133,-5.344,0.35,109.955,0.047,87,"british soul, pop, pop soul, uk pop",60246046,Unknown,Adele - COLD SHOULDER,5629
Kane,SHOT OF A GUN,37,187386,EVERYTHINGYOUWANT,0.428,0.112,0.739,0.109,-3.587,0.276,186.063,0.0434,45,"dutch pop, dutch rock",99172,Unknown,Kane - SHOT OF A GUN,5630
Kraak & Smaak feat. Ben Westbeech,SQUEEZE ME,23,196257,Step Up: All In (Original Motion Picture Soundtrack),0.799,0.164,0.903,0.302,-4.331,0.961,110.037,0.103,52,"bboy, indie soul, nu disco",108134,Unknown,Kraak & Smaak feat. Ben Westbeech - SQUEEZE ME,5631
Alicia Keys,TEENAGE LOVE AFFAIR,46,190200,As I Am (Expanded Edition),0.636,0.632,0.826,0.197,-4.668,0.677,87.665,0.161,81,"neo soul, pop, r&b",12226583,Unknown,Alicia Keys - TEENAGE LOVE AFFAIR,5632
Cahill feat. Nikki Belle,TRIPPIN ON YOU,5,168866,Trippin On You (feat. Nikki Belle),0.609,0.00139,0.911,0.337,-3.674,0.762,128.026,0.0341,41,,2920,Unknown,Cahill feat. Nikki Belle - TRIPPIN ON YOU,5633
DJ Maurice,CARNAVAL DE PARIS,0,256182,Carnaval De Paris,0.887,0.00141,0.607,0.0973,-4.384,0.118,128.009,0.0616,0,,17,Unknown,DJ Maurice - CARNAVAL DE PARIS,5634
Yves Larock feat. Jaba,BY YOUR SIDE,0,345226,Ultra 2009 (Mixed by The Riddler and Cato K),0.291,0.0052,0.974,0.237,-4.614,0.497,191.487,0.219,50,disco house,59265,Unknown,Yves Larock feat. Jaba - BY YOUR SIDE,5635
Duffy,MERCY,57,219920,Rockferry,0.793,0.266,0.859,0.133,-3.774,0.964,129.911,0.0332,61,british soul,956058,Unknown,Duffy - MERCY,5636
Jonas Brothers,S.O.S,60,153346,Jonas Brothers,0.584,0.000728,0.696,0.184,-3.836,0.699,137.11,0.0694,75,"boy band, pop",7669928,Unknown,Jonas Brothers - S.O.S,5637
Nick & Simon,ROSANNE,47,159866,Vandaag,0.702,0.14,0.744,0.102,-4.669,0.962,96.995,0.0283,49,"dutch pop, dutch rock, kermis",209845,Unknown,Nick & Simon - ROSANNE,5638
De Welpies,ALLE WELPIES HELPEN!,1,160360,Alle Welpies Helpen,0.663,0.359,0.773,0.347,-6.001,0.868,130.877,0.0315,0,,73,Unknown,De Welpies - ALLE WELPIES HELPEN!,5639
Sam Sparro,BLACK AND GOLD,36,274133,Sam Sparro,0.38,0.00374,0.685,0.113,-6.652,0.267,101.979,0.0509,49,"australian dance, funktronica",86885,Unknown,Sam Sparro - BLACK AND GOLD,5640
Marco Borsato,WIT LICHT,26,245546,Wit Licht,0.548,0.0114,0.926,0.155,-4.208,0.361,145.898,0.112,57,"dutch cabaret, dutch pop, dutch rock",708986,Unknown,Marco Borsato - WIT LICHT,5641
Gerard Joling,24 UUR VERLIEFD,4,233000,Goud (60 hits 25 jaar Gerard Joling),0.696,0.0141,0.959,0.295,-5.512,0.84,125.006,0.0514,50,"dutch pop, kermis, levenslied",88649,Unknown,Gerard Joling - 24 UUR VERLIEFD,5642
Jerry Ropero feat. Cozi,THE STORM,10,429893,The Storm (feat. Cozi),0.849,0.00308,0.45,0.0828,-9.044,0.405,127.982,0.0765,50,,5650,Unknown,Jerry Ropero feat. Cozi - THE STORM,5643
Ida Engberg,DISCO VOLANTE,34,452812,Disco Volante,0.853,0.0468,0.713,0.635,-7.184,0.345,126.024,0.0563,28,"electra, swedish electronic, swedish techno",25500,Unknown,Ida Engberg - DISCO VOLANTE,5644
